id,name,symbol,lastTradedTime,price,turnover,sharevolume,tradevolume,percentageChange,change
204,ABANS ELECTRICALS PLC,ABAN.N0000,1752565016058.0,444.0,3230079.25,7259.0,50.0,-0.1124859392575928,-0.5
1845,ABANS FINANCE PLC,AFSL.N0000,1752565355324.0,69.3,251502.3,3774.0,33.0,4.2105263157894735,2.8
2065,ACCESS ENGINEERING PLC,AEL.N0000,1752565436218.0,58.1,494062780.3,8772488.0,1708.0,7.195571955719557,3.9
472,ACL CABLES PLC,ACL.N0000,1752565216036.0,158.0,21913331.5,138134.0,150.0,-1.557632398753894,-2.5
406,ACL PLASTICS PLC,APLA.N0000,1752560135696.0,725.0,522157.75,719.0,19.0,0.6245662734212353,4.5
554,ACME PRINTING & PACKAGING PLC,ACME.N0000,1752564752521.0,4.9,339801.7,70762.0,20.0,2.0833333333333335,0.1
163,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,1752565129672.0,57.0,15667912.0,277018.0,186.0,1.4234875444839858,0.8
2035,AGSTAR PLC,AGST.X0000,,7.7,,,,0.0,0.0
2026,AGSTAR PLC,AGST.N0000,1752565452808.0,7.9,4177250.8,524459.0,81.0,1.2820512820512822,0.1
144,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,1752564578229.0,79.0,13185645.9,166975.0,84.0,-0.8782936010037641,-0.7
2789,AITKEN SPENCE PLANTATION MANAGEMENTS PLC,ASPM.N0000,,0.0,,,,0.0,0.0
343,AITKEN SPENCE PLC,SPEN.N0000,1752564842255.0,138.75,9358948.25,67192.0,83.0,-0.5376344086021505,-0.75
395,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,1752565329882.0,415.0,7505306.5,18122.0,110.0,-4.377880184331797,-19.0
5511,ALPHA FIRE SERVICES PLC,AFS.N0000,1752564743763.0,14.6,919111.5,61518.0,40.0,-3.3112582781456954,-0.5
3082,ALUMEX PLC,ALUM.N0000,1752565453309.0,17.4,46610291.4,2697431.0,441.0,-2.247191011235955,-0.4
